NAME,REGION,LATITUDE,LONGITUDE,ELEVATION,TYPE,STATUS,LAST ERUPTION CODE
ARENAL,COSTA RICA,10.463,-84.703,1657,STRATOVOLCANO,HISTORICAL,D1
ARHAB,ARABIA-S,15.63,44.08,3100,VOLCANIC FIELD,HISTORICAL,D6
ARINTICA,CHILE-N,-18.73,-69.05,5597,STRATOVOLCANOES,HOLOCENE,U
ARJUNO-WELIRANG,JAVA,-7.725,112.58,3339,STRATOVOLCANO,HISTORICAL,D2
ASACHA,KAMCHATKA,52.355,157.827,1910,COMPLEX VOLCANO,HOLOCENE,U
ASAMA,HONSHU-JAPAN,36.4,138.53,2560,COMPLEX VOLCANO,HISTORICAL,D1
ASAVYO,ETHIOPIA,13.07,41.6,1200,SHIELD VOLCANO,HOLOCENE,U
ASCENSION,ATLANTIC-S,-7.95,-14.37,858,STRATOVOLCANO,HOLOCENE,U
ASKJA,ICELAND-NE,65.03,-16.75,1516,STRATOVOLCANO,HISTORICAL,D2
ASMARA,ETHIOPIA,11.27,41.52,500,PYROCLASTIC CONE,HOLOCENE,U
ASO,KYUSHU-JAPAN,32.88,131.1,1592,CALDERA,HISTORICAL,D1
ASSAB VOLC FIELD,ETHIOPIA,12.95,42.43,987,VOLCANIC FIELD,HOLOCENE,U
ASUNCION,MARIANA IS-C PACIFIC,19.67,145.4,857,STRATOVOLCANO,HISTORICAL,D2
ATACAZO,ECUADOR,-0.353,-78.617,4463,STRATOVOLCANO,RADIOCARBON,D7
ATITLAN,GUATEMALA,14.583,-91.186,3535,STRATOVOLCANO,HISTORICAL,D3
ATKA,ALEUTIAN IS,52.38,-174.15,1533,STRATOVOLCANOES,HISTORICAL,D1
ATLASOVA,KAMCHATKA,57.97,160.65,1764,SHIELD VOLCANOES,HOLOCENE,U
ATLIXCOS,MEXICO,19.809,-96.526,800,SHIELD VOLCANO,HOLOCENE,U
ATSONUPURI,KURIL IS,44.804,147.13,1205,STRATOVOLCANO,HISTORICAL,D2
AUCANQUILCHA,CHILE-N,-21.22,-68.47,6176,STRATOVOLCANO,HOLOCENE,U
