NAME,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,POPULATION WITHIN 10KM,LARGEST YEAR,LARGEST VEI,LATEST YEAR,LATEST VEI
Fuss Peak,Russia,50.267,155.246,1742,Stratovolcano,62,1854,3,1854,3
Galapagos Rift,Undersea Features,0.792,-86.15,-2430,Submarine,0,1996,0,1996,0
Galeras,Colombia,1.22,-77.37,4276,Complex,120817,2008,3,2012,2
Galunggung,Indonesia,-7.25,108.058,2168,Stratovolcano,66495,1822,5,1984,1
Gamalama,Indonesia,0.8,127.33,1715,Stratovolcano(es),204820,1990,3,2016,1
Gamkonora,Indonesia,1.38,127.53,1635,Stratovolcano,12744,1673,5,2007,2
Gareloi,United States,51.79,-178.794,1573,Stratovolcano,0,1982,3,1989,1
Garibaldi,Canada,49.85,-123.0,2678,Stratovolcano,22,-8060,3,-8060,3
Gaua,Vanuatu,-14.27,167.5,797,Stratovolcano,1200,1965,3,2011,1
Gede-Pangrango,Indonesia,-6.77,106.965,3008,Stratovolcano(es),154390,1853,3,1957,2
Ghegam Ridge,Armenia,40.275,44.75,3597,Volcanic field,1265153,-1900,0,-1900,0
Glacier Peak,United States,48.112,-121.113,3213,Stratovolcano,0,200,4,1700,2
Gorely,Russia,52.559,158.03,1799,Caldera,0,1980,3,2010,1
Gorny Institute,Russia,57.33,160.2,2125,Stratovolcano,0,-4250,0,-4250,0
Great Sitkin,United States,52.076,-176.13,1740,Stratovolcano,0,1974,2,1974,2
Grimsnes,Iceland,64.05,-20.883,200,Crater rows,6253,-4270,3,-3500,2
Grimsvotn,Iceland,64.416,-17.316,1719,Caldera,0,-8230,6,2011,4
Guagua Pichincha,Ecuador,-0.171,-78.598,4784,Stratovolcano,32488,930,5,2002,1
Guallatiri,Chile,-18.42,-69.092,6071,Stratovolcano,63,1960,2,1960,2
Guguan,United States,17.307,145.845,287,Stratovolcano,0,1883,2,1883,2
Guntur,Indonesia,-7.143,107.84,2249,Complex,218012,1843,3,1847,2
Gunungapi Wetar,Indonesia,-6.642,126.65,282,Stratovolcano,2,1699,3,1699,3
Hachijojima,Japan,33.137,139.766,854,Stratovolcano(es),13560,-2050,5,1606,2
Hakkodasan,Japan,40.659,140.877,1585,Stratovolcano(es),730,-2250,3,1550,1
Hakoneyama,Japan,35.233,139.021,1438,Complex,53755,-6000,3,2015,1
Hakusan,Japan,36.155,136.771,2702,Stratovolcano,807,-200,4,1659,2
Harrat Ash Shamah,Syria-Jordan-Saudi Arabia,32.333,37.583,1100,Volcanic field,276996,1850,0,1850,0
Harunasan,Japan,36.477,138.851,1449,Stratovolcano,36116,550,5,550,5
Havre Seamount,New Zealand,-31.08,-179.033,-897,Submarine,0,2012,1,2012,1
Hayes,United States,61.64,-152.411,3034,Stratovolcano,0,-1550,5,-1550,5
Haylan,Yemen,15.4,45.1,1550,Volcanic field,225754,-1200,0,-1200,0
Heard,Australia,-53.106,73.513,2745,Stratovolcano,0,2000,2,2012,0
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,0,1104,5,2000,3
Hell's Half Acre,United States,43.5,-112.45,1631,Shield,305,-3250,0,-3250,0
Hengill,Iceland,64.083,-21.416,803,Crater rows,5722,150,2,150,2
Hierro,Spain,27.73,-18.03,1500,Shield,20321,2011,2,2011,2
Hiuchigatake,Japan,36.955,139.285,2356,Stratovolcano,720,1544,2,1544,2
Hokkaido-Komagatake,Japan,42.063,140.677,1131,Stratovolcano,23091,1640,5,2000,1
Home Reef,Tonga,-18.992,-174.775,-10,Submarine,0,1984,3,2006,2
Hood,United States,45.374,-121.695,3426,Stratovolcano,850,1865,2,1865,2
Hoodoo Mountain,Canada,56.78,-131.28,1850,Subglacial,0,-7050,0,-7050,0
Hornopiren,Chile,-41.874,-72.431,1572,Stratovolcano,116,-3720,4,-3720,4
Hualalai,United States,19.692,-155.87,2523,Shield,35906,1240,2,1800,0
Huaynaputina,Peru,-16.608,-70.85,4850,Stratovolcano,210,1600,6,1600,6
Hudson Mountains,Antarctica,-74.33,-99.42,749,Stratovolcano(es),0,-210,4,-210,4
Hudson,Chile,-45.9,-72.97,1905,Stratovolcano,12,-1890,6,2011,2
Huequi,Chile,-42.377,-72.578,1318,Lava dome(s),7,1890,3,1920,2
Huila,Colombia,2.93,-76.03,5364,Stratovolcano,3501,2008,3,2008,2
Hunga Tonga-Hunga Ha'apai,Tonga,-20.536,-175.382,114,Submarine,230,2014,2,2014,2
Hunter Island,France,-22.4,172.05,297,Stratovolcano,0,1903,0,1903,0
Ibu,Indonesia,1.488,127.63,1325,Stratovolcano,14549,1998,2,2008,1
Ichinsky,Russia,55.678,157.718,3596,Stratovolcano,0,-5400,5,1740,0
Igwisi Hills,Tanzania,-4.889,31.933,1146,Pyroclastic cone(s),37034,-10450,1,-10450,1
Ijen,Indonesia,-8.058,114.242,2769,Stratovolcano(es),5504,1936,2,1999,1
Iliamna,United States,60.032,-153.09,3053,Stratovolcano,0,-2050,4,1876,3
Iliboleng,Indonesia,-8.342,123.258,1659,Stratovolcano,87503,1987,2,1993,1
Iliinsky,Russia,51.498,157.203,1555,Stratovolcano,0,-2850,5,1901,3
Iliwerung,Indonesia,-8.53,123.57,1018,Complex,4318,1870,3,2013,0
Ilopango,El Salvador,13.672,-89.053,450,Caldera,2049583,450,6,1879,3
Inielika,Indonesia,-8.73,120.98,1559,Complex,27281,2001,2,2001,2
Ioto,Japan,24.751,141.289,169,Caldera,1179,2012,1,2012,1
Io-Torishima,Japan,27.881,128.223,212,Complex,0,1959,2,1968,1
Irazu,Costa Rica,9.979,-83.852,3432,Stratovolcano,25442,1963,3,1994,2
Irruputuncu,Chile-Bolivia,-20.73,-68.55,5163,Stratovolcano,239,1995,2,1995,2
Ischia,Italy,40.73,13.897,789,Complex,20210,40,3,40,3
Isluga,Chile,-19.15,-68.83,5550,Stratovolcano,703,1913,2,1913,2
Iwakisan,Japan,40.656,140.303,1625,Stratovolcano,13229,1604,3,1863,1
Iwatesan,Japan,39.853,141.001,2038,Complex,18462,1686,3,1919,1
Iya,Indonesia,-8.897,121.645,637,Stratovolcano,46835,1969,3,1969,3
Izalco,El Salvador,13.813,-89.633,1950,Stratovolcano,55665,1948,3,1966,0
Izu-Oshima,Japan,34.724,139.394,758,Stratovolcano,8037,1421,4,1990,2
Izu-Tobu,Japan,34.9,139.098,1406,Pyroclastic cone(s),61727,-1150,4,1989,1
Izu-Torishima,Japan,30.484,140.303,394,Stratovolcano,21,1939,3,2002,2
Jan Mayen,Norway,71.087,-8.146,2085,Stratovolcano,0,1970,3,1985,0
Jolo,Philippines,6.013,121.057,811,Pyroclastic cone(s),295392,1897,0,1897,0
Jordan Craters,United States,43.147,-117.46,1473,Volcanic field,0,-1250,2,-1250,2
Kaba,Indonesia,-3.522,102.615,1940,Stratovolcano,15352,1956,2,2000,1
Kaguyak,United States,58.608,-154.028,901,Lava dome(s),0,-3850,5,-3850,5
Kaitoku Seamount,Japan,26.06,140.933,-173,Submarine,0,1984,0,1984,0
Kambalny,Russia,51.306,156.875,2116,Stratovolcano,20,2017,3,2017,3
Kanaga,United States,51.923,-177.168,1307,Stratovolcano,0,2012,2,2012,2
Kanlaon,Philippines,10.412,123.132,2435,Stratovolcano,40276,2015,2,2015,2
Karangetang,Indonesia,2.781,125.407,1797,Stratovolcano,4478,2010,3,2014,1
Karkar,Papua New Guinea,-4.649,145.964,1839,Stratovolcano,4159,730,4,2014,1
Karpinsky Group,Russia,50.148,155.373,1326,Cone(s),104,1952,1,1952,1
Karthala,Comoros,-11.75,43.38,2361,Shield,225379,2005,3,2007,2
Karymsky,Russia,54.049,159.443,1513,Stratovolcano,0,-6600,6,2016,2
Kasatochi,United States,52.177,-175.508,314,Stratovolcano,0,2008,4,2008,4
Kasuga 1,United States,21.765,143.71,-598,Submarine,0,1959,0,1959,0
Katla,Iceland,63.633,-19.083,1490,Subglacial,0,1755,5,1918,4
Katmai,United States,58.28,-154.963,2047,Stratovolcano,0,1912,3,1912,3
Kavachi,Solomon Islands,-8.991,157.979,-20,Submarine,6,1991,2,2014,1
Kelimutu,Indonesia,-8.77,121.82,1639,Complex,9896,1938,2,1968,1
Kelut,Indonesia,-7.93,112.308,1731,Stratovolcano,50901,1586,5,2014,4
Kerinci,Indonesia,-1.697,101.264,3800,Stratovolcano,33878,2016,2,2016,1
Ketoi,Russia,47.35,152.475,1172,Stratovolcano,10,1960,2,1960,2
Khangar,Russia,54.761,157.407,1967,Stratovolcano,0,-5700,6,-5700,6
Kharimkotan,Russia,49.12,154.508,1145,Stratovolcano,2,1933,5,1933,5
Khaybar,Saudi Arabia,25.0,39.92,2093,Volcanic field,13619,650,2,650,2
Khodutka,Russia,52.062,157.711,2039,Stratovolcano(es),0,-930,5,-300,0
Kick 'em Jenny,Grenada,12.3,-61.64,-185,Submarine,4687,1939,1,2015,0
Kikai,Japan,30.789,130.308,704,Caldera,152,-4350,7,2013,1
Kikhpinych,Russia,54.489,160.251,1506,Stratovolcano(es),29,1350,4,1350,4
Kilauea,United States,19.421,-155.287,1222,Shield,3122,1790,4,1983,1
Kinenin,Russia,57.35,160.97,583,Maar,0,850,4,850,4
Kirishimayama,Japan,31.934,130.862,1700,Shield,8415,1235,4,2011,2
Kiska,United States,52.103,177.602,1220,Stratovolcano,0,1962,3,1990,2
Kita-Fukutokutai,Japan,24.417,141.417,-73,Submarine,0,1953,0,1953,0
Kita-Ioto,Japan,25.424,141.284,792,Stratovolcano,162,1930,2,1930,2
Kizimen,Russia,55.131,160.32,2334,Stratovolcano,26,-6400,5,2010,3
Klyuchevskoy,Russia,56.056,160.642,4754,Stratovolcano,0,1986,4,2015,2
Kolbeinsey Ridge,Iceland,66.67,-18.5,5,Submarine,0,1372,2,1372,2
Kolokol Group,Russia,46.042,150.083,1328,Stratovolcano,2,1970,3,1973,1
Komarov,Russia,55.033,160.725,2065,Stratovolcano,0,450,0,450,0
Kone,Ethiopia,8.8,39.692,1619,Caldera(s),27271,1820,1,1820,1
Korovin,United States,52.381,-174.166,1518,Stratovolcano(es),0,1998,3,2006,1
Koryaksky,Russia,53.321,158.712,3430,Stratovolcano,13,1956,3,2008,2
Koshelev,Russia,51.356,156.753,1822,Stratovolcano,2,1690,3,1690,3
Kostakan,Russia,53.83,158.05,1150,Pyroclastic cone(s),13,1000,3,1350,1
Kozushima,Japan,34.219,139.153,572,Lava dome(s),2406,838,4,838,4
Krafla,Iceland,65.715,-16.728,800,Caldera,384,-650,4,1984,0
Krakatau,Indonesia,-6.102,105.423,813,Caldera,7177,1883,6,2014,1
Krasheninnikov,Russia,54.596,160.27,1816,Caldera,308,-150,4,1350,0
